quarter,commit_nb,contributor_id
2005 Q2,444,f502051975ecfc82664f57969e93630f2875265cf7739cc39fdbc5bf0005abb0
2005 Q2,268,503a159e949030a40bedec65639ab354504b1505b3607cb963ead76ce2c28287
2005 Q2,38,e57cc873f78df3bd2dbfb3bb859122a390ae89909e78a172dfe87fcbf1a8b32b
2005 Q2,37,3990bb51295134a2078df5828169f822c36e98db4fcb6ea35ce7b7bf1dd4b4a5
2005 Q2,26,247c7b1f4cee0d71d2b7c6395319bfd00aaa1af09ee810af1d497e06a9c2cb60
2005 Q2,17,1ba8f4b0ed4c8d21a7c71f60127825c828b62f4f9c42da3f313666005f156738
2005 Q2,16,019020f891a744cf4a889a3d9d0f1de7e5b6df059b3be81b590322d733aca60c
2005 Q2,14,921969b2242ae623ded86ae57d90a99a6d48ce0e5600ad7ef1b5ea1004190ee1
2005 Q2,13,407d1e4abb059439405c5121dac2c0f3743507f8e23c8e5a0d452104e7e49ae5
2005 Q2,9,b3eda42a08d14c6ffb3484f474766b05d6466ffe9f3a8a0a6b4a0ccafee51198
2005 Q2,7,bbaf4eb623f644583a798b7a510a6b84f4a1a252d047196b3a914f5307244f37
2005 Q2,7,b6b78a660c3954d6419e61da7ceb589eb4ec63b1a2ab46b3738828d65ffc2941
2005 Q2,6,30bf0c17438ea4f630cfa0d9f9edc8d522edc3f8326dea92948dddff7d578b9c
2005 Q2,5,d74f006ae263645cc0b9c4625a6f71fee41922e916cd00ff8905028c702f3595
2005 Q2,5,fe47ae5bbf764efc0accfa0dae3b0f6eca658b98b6837e951f74d808bf956097
2005 Q2,4,14051d3a0b661c7e30422946e7ed803907f7a3944f544ea7fcf95d56c70e4017
2005 Q2,4,ea4ffb43fc96ffde1a4f8b26074de7418ad4c4bc473207993afba646478c1528
2005 Q2,4,ba9b6629fed6280a3d1a378aae6e8732b92fb800b1b7887edd5e6d495eec6fa6
2005 Q2,4,465276db7dcdd203af2bbf160fb6577b8b30f90320ccc35c3209f90c48c70313
2005 Q2,3,9c218409977819feb08e299400834bb31c9c0a0764f3bfa2c46f066e1756e7e5
2005 Q2,3,c8fc96d692bc77d507c215e798bf38360a307f1792ffed373055479b20a99f04
2005 Q2,2,3b2616fad7311a7a9c276bda37eae9e5438223112277b25bec53fd248ccabc0c
2005 Q2,2,edefb284b020b91d3d2b4a512c1a8de3a5558db2d064974c632a1f81000ddb8a
2005 Q2,2,ab7e120e6c4dde927284d283c557e1e8046d0326454f37082343733503a81fc5
2005 Q2,2,acdf44a3c285a352b1b77ab768bdff9b2cafb39397d9483fe26567bf2a396a86
2005 Q2,2,9aa43160c73cdb6888e76e1884185eac40f15ac6758df5379e333c5630789f8f
2005 Q2,2,264eb8083d59683cca0360e63a26a4b7fe48c8ee8a562fdef0c9d1387ac1e0ee
2005 Q2,2,a7db079cb51ddb5a070884e31b6e0b7d6dd76c078bad547fad7f3f8c654f4c5b
2005 Q2,2,22db333bdaf8a291310d2c09907ac5c28c70a445fe4853eff639e249281bf79f
2005 Q2,1,6f416a60bffb7c4af4d97d671bc9cf4836415fe2062559cedb01fc248b4815a7
2005 Q2,1,78f972932895d32065092b7d0116994fe3da4a32ed6ae358d87b468d60a19fc6
2005 Q2,1,1f3385770a353b3114dc16470e7739196a388c93903bd69efb659c4486e03f70
2005 Q2,1,6984e55d33824a02bd1b2198066b9917991de9b4856cf1344a677f90de23d6a4
2005 Q2,1,ce772b405575b7e086c522cb560ba7fcc316aa478c79ff9fc273ac18312a54ab
2005 Q2,1,21026c3f38c8f19065321d5bcdcee60be19e8a3d1c84093a3b49a70f06c45460
2005 Q2,1,4b9740a8aaf9575a9a36da6d36196332ffbcbf1457baa2002ba3e8b00b6b9831
2005 Q2,1,d6df1e60af790d2e28cbcb5324e5ae45479a4bcd34e559cf6f65b333a1a891ab
2005 Q2,1,b8c8da78b516fad0d0968a14165d9ebda2156b30c44c8e389ac482922665ae43
2005 Q2,1,98453c8c0a18289a8deb39c907d74fe812851d9dc868413f9c77f5cb81f26e4e
2005 Q2,1,74ab8526b19a97c68773bbd5eccb3fc166ea436a7585849a603945fc13e8082f
2005 Q2,1,fec63485782c16f10b1fcabad73cc05c08142e155e5fad49ab957e9e7ad44c1c
2005 Q2,1,78e0cd0376d4103b61099070ae1d9de65c6c3bfe78defe810dcfcba77e7b81c3
2005 Q2,1,656f04297fd02ad1dc297d27243c96b87cd82e926b7b9e0c25fa9d3e553c592e
2005 Q2,1,4ebacdc9643a0849fce6e6da98c95a5971adbc1ccb0bed76c9465ab6d6167014
2005 Q2,1,e777f9f66c07f149cf81ad3ceb9793e632804d2d2b171b029d08fd70612401b4
2005 Q3,450,503a159e949030a40bedec65639ab354504b1505b3607cb963ead76ce2c28287
2005 Q3,174,f502051975ecfc82664f57969e93630f2875265cf7739cc39fdbc5bf0005abb0
2005 Q3,94,ea4ffb43fc96ffde1a4f8b26074de7418ad4c4bc473207993afba646478c1528
2005 Q3,33,1f3385770a353b3114dc16470e7739196a388c93903bd69efb659c4486e03f70
2005 Q3,29,e57cc873f78df3bd2dbfb3bb859122a390ae89909e78a172dfe87fcbf1a8b32b
2005 Q3,23,ce772b405575b7e086c522cb560ba7fcc316aa478c79ff9fc273ac18312a54ab
2005 Q3,22,4edf5724e844b1f515146cc3bc0afff81f1aa4d3574e5919a3780390d57ceace
2005 Q3,22,73265645a24d082d0b42e546499c33f6325d20b676cb40948d33d85370f964c7
2005 Q3,21,247c7b1f4cee0d71d2b7c6395319bfd00aaa1af09ee810af1d497e06a9c2cb60
2005 Q3,19,b6b78a660c3954d6419e61da7ceb589eb4ec63b1a2ab46b3738828d65ffc2941
2005 Q3,18,3990bb51295134a2078df5828169f822c36e98db4fcb6ea35ce7b7bf1dd4b4a5
2005 Q3,14,5a543fb0acea9d6ccfbedd37a90b26fd31593ef7a58e1d8a8c30d3ffbdc2dd76
2005 Q3,13,643ed83dad35f246978591c2ca50c0d20a938a4404994363548f84a5f0854276
2005 Q3,12,8ecbc24599faaad1112a05ac5c53fcf7e20e4d8abbbc58343c61530ef2831527
2005 Q3,12,1ba8f4b0ed4c8d21a7c71f60127825c828b62f4f9c42da3f313666005f156738
2005 Q3,12,4e0972b4286362bcc591ab5fd83e8efcfdc0b772fc4bbbff8de2cced8cf41321
2005 Q3,9,21026c3f38c8f19065321d5bcdcee60be19e8a3d1c84093a3b49a70f06c45460
2005 Q3,9,b3eda42a08d14c6ffb3484f474766b05d6466ffe9f3a8a0a6b4a0ccafee51198
2005 Q3,6,65a6988fef04541e99f4d0c76a9f7c2da959a642f1c5ed4a61b264f3f585eaad
2005 Q3,5,22a0249e99fbbaa703c5f6dbd15caddebf778f84f941eadd040000f0c0b4b9b5
2005 Q3,5,3e6c46e42f486ebe2d82d3e2cbd6bd91831857d8bf6cc1f0e4c1d86b28995a8d
2005 Q3,5,aa093dcc3fceb1abbfd720b87b31537f97679b7100b28858c7a998e75aa2c8da
2005 Q3,4,3b2616fad7311a7a9c276bda37eae9e5438223112277b25bec53fd248ccabc0c
2005 Q3,4,22ca847731ac1d2c00261bccb2b420a564fc93ae46e702e0f3da29b8642fa8d9
2005 Q3,4,e44fddd6cc349086507b9bca31888b1bec86e62998fe965459fae2139ed52b38
2005 Q3,3,ec20018fa6e6d7a50924ee751ce5c0c38ca15e2f20b41012e72c1b4494b3449c
2005 Q3,3,c534d260054e36e4ea1732b07f7959cc8e39bc74283733c5263a25651011764a
2005 Q3,3,f75e43bed665921e88c8f95a8a0391fe8c0362fe0c34a7c0bcffbfbbbabd8c83
2005 Q3,3,fe0c7ed2c70cc25bfba4ea1e00a41a443c1df97faafd044ecdd791072b5407ed
2005 Q3,3,6fb72b18e7cdc5fce89d6858fccd15f0538791f87c7b310680c0caf25eafcac5
2005 Q3,3,155716baa46bc2fae797f2428cd337a53c6857e0f550a2c9783dd44d9ae5f532
2005 Q3,3,24045d57cd46737696139f14b6919332adaa81fa142bb1b96eec2664d50dfbbb
2005 Q3,2,31db19e55b75268723e0b383a3dd9999f23b145b83d5c16189da6f448c797f8a
2005 Q3,2,6f98ee0c19347c558152b4d3b9d88a1d2e8cb7ea09aed6de42160a8da428c40b
2005 Q3,2,921969b2242ae623ded86ae57d90a99a6d48ce0e5600ad7ef1b5ea1004190ee1
2005 Q3,2,a164ab76e7a9c90dd7d06cf594ecb7ff1d704a8767b4f2106be576ec4c3ecc4d
2005 Q3,2,b3688d22e01b83c753a03dd66f15dcdbfbb58ec23e7d35380f0e30629241a4b2
2005 Q3,2,ae1800ac6e5591b4747115980d9ea7eff66163a12075c2a1374d730c13c5678a
2005 Q3,2,1eed334c1e99025468fa606abe76d5802a08544e430302f4955003aac0aa4fc7
2005 Q3,1,636805061cbeec87b36b7c87a7524a2dc2d2476ea9e8000162f149bbff952e96
2005 Q3,1,2ad1201f143a18b7aebba403b94cd444ff150473509ba5f259e5e939099c1786
2005 Q3,1,f6fcf84737f63b5ccdddd7629cd5800a8aefea22ed340906357f51b76d86e3b3
2005 Q3,1,e9fe5577194e249d4d64842db6aebc918de0acd909689f72681c9f33faa031f4
2005 Q3,1,019020f891a744cf4a889a3d9d0f1de7e5b6df059b3be81b590322d733aca60c
2005 Q3,1,9aee57492f406a07b4e46f37cbe0998bf469cf305e680237fd6324fd7ab1094a
2005 Q3,1,96f6b05fdda6db120b33f4073a264396c03389dff97cb2652b64521e8f6c5715
2005 Q3,1,db0d57132175e2e65e51e8fffebb00080de02f471f95dee29e7592619d00c094
2005 Q3,1,b6849221b0703b2da91979b1cef0378616b0a2bb08833bdffb317477a011982e
2005 Q3,1,a3578ed559be88099e79d16e195411608cd8f8c9f5a4477230c77859c4a84899
2005 Q3,1,00c6096acdb2be653db07970eb720f64b8d1dcec2a2652c596d44381cde6808d
2005 Q3,1,e6e0fd73f96660d0d6be7f396fda17f139087f9b901f05c27a80ef71c2668e5f
2005 Q3,1,dc9b6267e6e352858d99ce5d8af30a6daadc17b3638adaf6970e6a1329959095
2005 Q3,1,30bf0c17438ea4f630cfa0d9f9edc8d522edc3f8326dea92948dddff7d578b9c
2005 Q3,1,67fe6283ccca5170bf665fb3516e96f3a4b691a0522bc223add9cfb087f6604e
2005 Q3,1,c4b29fbe169687b333310ca3632385e1e04e2d2cb359f53f9475180b66e2b6a7
2005 Q3,1,adc7dc2c515550f19a2e26adfbf29a3d48c59b4b852e6aa0ae477564e5e4f229
2005 Q3,1,d62293271350d5067b3f3d032b336f73264e82f5b2648b3f942b91270bdaa615
2005 Q3,1,fe47ae5bbf764efc0accfa0dae3b0f6eca658b98b6837e951f74d808bf956097
2005 Q3,1,f1ed89751f62e2691b33956ab6e68a48658d41484fb4d8c5b8d4f694cbfead4e
2005 Q4,563,503a159e949030a40bedec65639ab354504b1505b3607cb963ead76ce2c28287
